name,Private,Top10perc,Top25perc,Room.Board,PhD,S.F.Ratio,perc.alumni,Expend,Grad.Rate,state,out_of_state_tuition
Northwest Missouri State University,0,8,29,3136,62,21.7,23,5284,54,Missouri,16457.0
Norwich University,1,8,29,5270,71,13.1,22,9209,63,Vermont,40016.0
Notre Dame College,1,15,37,4900,44,12.1,26,4948,33,Ohio,30160.0
Occidental College,1,52,81,5140,91,10.5,30,16196,79,California,54686.0
Oglethorpe University,1,56,87,4340,91,13.1,27,8568,67,Georgia,38100.0
Ohio Northern University,1,35,62,4080,73,14.5,31,9979,83,Ohio,32260.0
Oklahoma Baptist University,1,35,59,3140,63,15.1,18,5511,50,Oklahoma,28258.0
Ouachita Baptist University,1,31,73,2800,63,13.3,10,6413,65,Arkansas,26790.0
Our Lady of the Lake University,1,22,46,3644,56,14.9,25,7114,37,Texas,28740.0
Pacific Lutheran University,1,31,68,4488,78,11.0,23,9431,83,Washington,42066.0
Pacific Union College,1,20,48,3825,48,12.3,12,9157,69,California,30060.0
Pepperdine University,1,86,96,6770,95,11.6,13,16185,66,California,53932.0
Peru State College,0,10,40,2624,48,20.1,24,4870,44,Nebraska,7482.0
Phillips University,1,19,50,3860,58,11.6,19,8990,39,Virginia,39035.0
Piedmont College,1,20,40,3620,89,13.2,17,7309,31,Georgia,25920.0
Pitzer College,1,37,73,5900,100,10.4,11,14820,73,California,54056.0
Prairie View A. and M. University,0,10,22,3500,55,19.4,1,5967,35,Texas,24843.0
Presbyterian College,1,34,63,3635,80,13.4,42,8354,85,South Carolina,38660.0
Princeton University,1,90,98,5910,91,8.4,54,28320,99,New Jersey,49330.0
Providence College,1,20,55,6200,66,18.4,35,8135,96,Rhode Island,50390.0
Purdue University at West Lafayette,0,29,60,3990,86,18.2,15,8604,67,Indiana,28794.0
Queens College,1,32,62,4970,73,14.0,36,9315,58,New York,18608.0
Quincy University,1,22,66,4140,69,16.3,32,6880,80,Illinois,28462.0
Regis College,1,18,38,5800,81,10.3,37,11758,84,Massachusetts,41015.0
Rensselaer Polytechnic Institute,1,53,82,5976,94,15.4,21,15605,70,New York,53880.0
Roanoke College,1,27,54,4425,85,13.0,26,9405,72,Virginia,44030.0
Rocky Mountain College,1,11,31,3362,56,11.3,27,6422,68,Montana,28512.0
Roger Williams University,1,10,20,6050,44,16.4,8,7957,61,Rhode Island,34522.0
Rollins College,1,31,55,5220,81,13.3,23,11561,90,Florida,49760.0
Sacred Heart University,1,19,51,5780,71,14.8,16,7120,82,Connecticut,41420.0
Saint Ambrose University,1,12,48,4020,56,14.1,16,7444,70,Iowa,30894.0
Saint Anselm College,1,15,40,5400,70,14.5,29,6719,97,New Hampshire,41200.0
Saint Cloud State University,0,10,34,2625,70,18.9,10,4629,58,Minnesota,17146.0
Saint Francis College,1,21,45,5050,64,19.3,24,7344,69,New York,26188.0
Saint Mary's College,1,26,60,4514,74,9.9,31,11165,98,Indiana,42220.0
Saint Michael's College,1,16,64,5860,79,14.5,34,10190,84,Vermont,45375.0
Saint Olaf College,1,38,73,3750,82,10.0,31,12502,83,Minnesota,47840.0
Saint Xavier University,1,15,65,4624,87,13.7,15,8953,55,Illinois,33880.0
Santa Clara University,1,40,73,5928,88,13.9,19,10872,100,California,51711.0
Sarah Lawrence College,1,57,82,6694,89,6.1,18,14779,83,New York,55900.0
Savannah Coll. of Art and Design,1,20,65,5000,14,16.1,26,6874,55,Georgia,36630.0
Scripps College,1,60,83,7350,95,8.2,41,18372,73,California,55024.0
Seattle Pacific University,1,42,82,4875,83,16.8,20,10368,66,Washington,42939.0
Seattle University,1,28,72,4375,85,12.2,16,10175,89,Washington,44610.0
Simmons College,1,23,53,6950,74,8.9,33,14086,79,Massachusetts,40800.0
Simpson College,1,27,57,4980,66,15.8,36,7411,70,Iowa,39144.0
Skidmore College,1,25,62,5970,87,12.7,29,14837,81,New York,54420.0
Southeastern Oklahoma State Univ.,0,20,50,2619,55,19.6,9,4444,53,Oklahoma,15390.0
Southwest State University,0,13,33,2750,58,16.5,31,6591,51,Minnesota,8632.0
Southwestern Adventist College,1,11,27,3736,44,13.0,12,5309,36,Mississippi,6550.0
Spalding University,1,10,45,2800,50,10.6,40,6860,89,Kentucky,24500.0
Spelman College,1,47,83,5565,73,12.5,18,9988,65,Georgia,29314.0
St. Bonaventure University,1,13,45,4927,91,17.7,32,9828,78,New York,34301.0
St. Mary's College of California,1,36,80,6354,88,16.1,17,9619,78,California,47280.0
St. Mary's College of Maryland,0,42,73,4730,84,11.6,23,10357,63,Maryland,30568.0
St. Mary's University of San Antonio,1,33,60,3858,82,16.2,7,7651,72,Texas,30650.0
St. Norbert College,1,30,56,4450,74,15.1,36,8595,88,Wisconsin,38129.0
St. Thomas Aquinas College,1,10,27,5700,69,16.1,13,6534,67,New York,31950.0
Stephens College,1,17,34,5200,46,10.9,17,9995,59,Missouri,30950.0
Stevens Institute of Technology,1,51,93,5680,89,19.0,33,12837,79,New Jersey,52202.0
SUNY College  at Brockport,0,7,34,4460,79,19.0,14,6632,49,New York,18192.0
SUNY College  at Oswego,0,17,70,4810,69,22.0,21,5280,63,New York,18220.0
SUNY College at Buffalo,0,8,29,4040,71,18.7,12,7511,42,New York,17990.0
SUNY College at Cortland,0,6,40,4680,82,17.8,17,5563,53,New York,18338.0
SUNY College at Fredonia,0,13,48,4420,82,16.3,10,6442,66,New York,18268.0
SUNY College at Geneseo,0,56,93,4170,79,19.1,25,5716,76,New York,18431.0
SUNY College at New Paltz,0,19,53,4240,85,15.3,8,6608,53,New York,18034.0
SUNY College at Plattsburgh,0,9,40,4176,80,17.9,16,6174,65,New York,18259.0
SUNY College at Potsdam,0,16,51,4660,71,15.1,17,6436,59,New York,18242.0
SUNY College at Purchase,0,5,33,4760,80,14.9,8,8170,46,New York,18478.0
Susquehanna University,1,27,59,4710,83,13.9,37,10554,90,Pennsylvania,47290.0
Sweet Briar College,1,36,68,6000,91,6.5,48,18953,61,Virginia,21000.0
Syracuse University,1,28,67,6870,73,11.3,13,14231,67,New York,51853.0
Talladega College,1,30,60,2964,56,15.5,7,5970,46,Alabama,12510.0
Taylor University,1,41,80,4000,60,14.2,32,8294,98,Indiana,34114.0
Texas Wesleyan University,1,19,44,3484,80,14.5,10,7936,43,Texas,30300.0
The Citadel,0,12,36,2439,95,17.1,17,7744,84,South Carolina,36761.0
Thiel College,1,15,31,4958,68,11.6,16,9186,60,Pennsylvania,31700.0
Tiffin University,1,5,21,3800,59,19.0,40,5096,39,Ohio,25000.0
Transylvania University,1,57,81,4450,81,12.1,41,10219,70,Kentucky,38750.0
Tulane University,1,47,75,5950,98,9.1,21,16920,74,Louisiana,54820.0
Tusculum College,1,12,34,3400,70,21.9,28,4933,52,Tennessee,24860.0
Tuskegee University,1,20,59,3395,70,12.2,7,10872,65,Alabama,22170.0
University of California at Berkeley,0,95,100,6246,93,15.8,10,13919,78,California,43176.0
University of Central Florida,0,25,60,4234,80,22.2,9,6742,46,Florida,22467.0
University of Connecticut at Storrs,0,23,63,5072,89,16.0,16,10178,71,Connecticut,38098.0
University of Detroit Mercy,1,24,50,3996,72,13.5,14,10891,51,Michigan,28000.0
University of Dubuque,1,11,39,3620,85,16.5,18,8767,45,Iowa,34110.0
University of Evansville,1,35,67,4340,60,15.8,26,7780,77,Indiana,36416.0
University of Hartford,1,11,26,6000,61,10.7,9,10625,66,Connecticut,40694.0
University of Illinois - Urbana,0,52,88,4574,87,17.4,13,8559,81,Illinois,31664.0
University of Indianapolis,1,26,51,4080,55,11.1,23,6735,69,Indiana,29688.0
University of La Verne,1,16,38,5050,66,14.1,23,10139,47,California,43050.0
University of Louisville,0,16,33,3600,84,11.1,24,10207,31,Kentucky,27278.0
University of Maine at Machias,0,17,45,3680,46,15.1,4,5935,64,Maine,15100.0
University of Maine at Presque Isle,0,10,40,3630,67,15.2,11,6408,35,Maine,12235.0
University of Massachusetts at Amherst,0,12,39,3897,88,16.7,15,10276,68,Massachusetts,34755.0
University of Massachusetts at Dartmouth,0,10,37,4500,74,15.0,20,7462,56,Massachusetts,29141.0
University of Minnesota at Duluth,0,15,45,3474,79,19.0,11,6393,53,Minnesota,18485.0
University of Minnesota at Morris,0,56,86,3180,74,14.6,16,6716,51,Minnesota,15342.0
University of Minnesota Twin Cities,0,26,55,3744,88,12.2,37,16122,45,Minnesota,30371.0
University of Missouri at Columbia,0,32,62,3485,87,12.7,15,10145,58,Missouri,29025.0
University of Missouri at Saint Louis,0,18,54,3964,71,13.4,15,6433,48,Missouri,27900.0
University of Mobile,1,17,54,3680,59,16.6,4,5412,52,Alabama,22820.0
University of Montevallo,0,18,78,3030,72,18.9,8,5883,51,Alabama,25780.0
University of Nebraska at Lincoln,0,33,63,3145,86,15.1,48,6813,53,Nebraska,24949.0
University of North Carolina at Asheville,0,32,74,3420,77,13.0,11,7011,37,North Carolina,23868.0
University of North Carolina at Chapel Hill,0,75,92,4200,88,8.9,23,15893,83,North Carolina,35170.0
University of North Carolina at Charlotte,0,19,62,3109,79,16.8,7,6227,62,North Carolina,20478.0
University of North Carolina at Wilmington,0,15,67,3680,82,19.1,15,6005,55,North Carolina,21065.0
University of North Florida,0,44,85,4360,82,17.8,14,6104,47,Florida,20112.0
University of Northern Colorado,0,12,37,4128,75,21.5,8,6309,40,Colorado,21474.0
University of Northern Iowa,0,18,52,2930,78,16.3,26,6333,77,Iowa,19480.0
University of Pittsburgh-Main Campus,0,25,59,4560,93,7.8,10,13789,66,Pennsylvania,32052.0
University of Puget Sound,1,51,83,4500,79,15.0,17,11217,63,Washington,49776.0
University of Rhode Island,0,12,40,5558,84,16.6,7,9158,63,Rhode Island,30862.0
University of Richmond,1,46,72,3285,75,11.7,32,11984,100,Virginia,52610.0
University of San Diego,1,40,70,5940,93,15.6,13,10813,66,California,49358.0
University of Sci. and Arts of Oklahoma,0,21,43,1920,67,23.6,3,3864,43,Oklahoma,17565.0
University of Scranton,1,29,60,5986,83,14.1,41,9131,92,Pennsylvania,44532.0
University of South Carolina at Columbia,0,30,66,3522,84,16.9,18,8246,63,South Carolina,33298.0
University of Southern Mississippi,0,20,50,2470,78,18.7,23,5917,45,Mississippi,10734.0
University of Tennessee at Knoxville,0,27,53,3262,86,16.5,22,8612,53,Tennessee,31196.0
University of Texas at Arlington,0,19,43,2780,73,21.0,4,4696,29,Texas,25134.0
University of Texas at Austin,0,48,85,3309,91,19.7,11,7837,65,Texas,37480.0
University of Texas at San Antonio,0,17,46,5376,94,25.3,3,4329,50,Texas,24262.0
University of the Pacific,1,36,66,5326,87,11.2,14,13706,65,California,48040.0
University of Tulsa,1,41,68,4160,94,11.5,10,11743,47,Oklahoma,41509.0
University of West Florida,0,20,57,3994,83,23.4,12,8488,53,Florida,18628.0
University of Wisconsin-Superior,0,14,53,2780,75,15.2,15,6490,36,Wisconsin,15699.0
University of Wisconsin-Whitewater,0,12,38,2500,90,23.1,16,5559,67,Wisconsin,16265.0
University of Wisconsin at Green Bay,0,17,50,2800,81,22.2,1,5968,46,Wisconsin,15728.0
University of Wisconsin at Madison,0,36,80,4290,93,11.5,20,11006,72,Wisconsin,36805.0
University of Wisconsin at Milwaukee,0,12,37,2964,79,15.9,8,8094,38,Wisconsin,22364.0
University of Wyoming,0,23,46,3422,91,15.1,13,8745,45,Wyoming,17490.0
Upper Iowa University,1,10,35,3060,69,17.4,19,3733,78,Iowa,30450.0
Ursinus College,1,44,77,5160,82,11.6,40,12082,79,Pennsylvania,52050.0
Ursuline College,1,21,47,4202,39,10.5,15,7164,68,Ohio,32390.0
Valley City State University,0,5,27,2570,39,14.9,25,4958,40,North Dakota,17166.0
Valparaiso University,1,49,81,3260,87,14.2,23,9681,95,Indiana,40260.0
Vanderbilt University,1,71,92,6525,93,5.8,26,23850,83,Tennessee,49816.0
Villanova University,1,30,68,6507,89,13.4,24,10458,96,Pennsylvania,53308.0
Virginia Commonwealth University,0,18,45,4182,81,8.7,11,11183,45,Virginia,35138.0
Voorhees College,1,10,30,2522,43,22.9,3,5861,58,South Carolina,12630.0
Wabash College,1,41,76,4195,78,9.9,55,14904,72,Indiana,43450.0
Wagner College,1,10,44,5800,67,13.2,23,9006,75,New York,47090.0
Wake Forest University,1,75,88,4360,95,4.3,37,41766,89,North Carolina,53322.0
Walsh University,1,27,92,4180,42,11.3,33,5738,68,Ohio,29980.0
Warren Wilson College,1,25,49,3052,65,11.4,20,9430,63,North Carolina,36280.0
Wartburg College,1,34,66,3610,66,12.4,37,7735,67,Iowa,41280.0
Washington State University,0,31,70,4210,84,16.9,30,10912,56,Washington,26365.0
Wellesley College,1,80,96,5995,94,10.6,51,21409,91,Massachusetts,53732.0
Wells College,1,40,85,5550,93,8.3,42,13935,69,New York,40700.0
Wentworth Institute of Technology,1,6,25,6050,10,15.4,8,17858,64,Massachusetts,33950.0
West Virginia Wesleyan College,1,28,55,3775,58,16.4,42,8080,67,West Virginia,31640.0
Western Carolina University,0,11,31,2380,67,14.6,9,6554,55,North Carolina,8220.0
Western New England College,1,7,21,5500,74,15.4,15,8409,59,New Hampshire,37914.0
Westmont College,0,42,72,5304,77,14.9,17,8837,87,California,45304.0
Whitman College,1,45,77,4900,80,10.5,51,13198,72,Washington,51764.0
Whittier College,1,35,63,5699,84,13.6,29,11778,52,California,48086.0
Widener University,1,24,64,5370,88,12.6,19,9603,63,Pennsylvania,45948.0
Wilkes University,1,15,36,5130,78,13.3,24,8543,67,Pennsylvania,36194.0
Willamette University,1,49,80,4620,91,13.3,37,10779,68,Oregon,50074.0
William Jewell College,1,32,67,2970,74,11.2,19,7885,59,Missouri,34400.0
William Woods University,1,17,39,4365,39,12.9,16,7438,52,Missouri,24110.0
Winthrop University,0,24,61,3392,71,12.8,26,6729,59,South Carolina,29846.0
Wisconsin Lutheran College,1,17,41,3700,48,8.5,26,8960,50,Wisconsin,29725.0
Wittenberg University,1,42,68,4404,82,12.8,29,10414,78,Ohio,39500.0
Wofford College,1,51,83,4150,91,15.3,42,7875,75,South Carolina,43845.0
Worcester Polytechnic Institute,1,49,86,5370,92,15.2,34,10774,82,Massachusetts,50530.0
Xavier University of Louisiana,1,34,61,4200,67,14.4,20,8323,49,Louisiana,24488.0
